Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2
2019-08-1213:12:04.5370,1.04,-1.45,-0.98,0.12,1.98,-9.53,6.94,27.56,7.94,11.737,1,1
2019-08-1213:12:04.6560,0.62,0.03,-0.59,0.12,1.98,-9.53,6.94,27.56,1,12.183,1,1
2019-08-1213:12:04.7460,4.35,-2.53,-2.02,0.12,1.98,-9.53,2.06,134.56,1,12.241,1,1
2019-08-1213:12:04.8660,4.35,-2.53,-2.02,0.12,1.98,-9.53,2.06,134.56,1,12.199,1,1
2019-08-1213:12:04.9560,-0.8,-0.88,-1.2,0.12,1.98,-9.53,2.06,134.56,1,12.288,1,1
2019-08-1213:12:05.0460,-1.33,1.37,4.85,-1.15,2.48,-9.64,2.06,134.56,1,12.073,1,1
2019-08-1213:12:05.1360,-1.33,1.37,4.85,-1.15,2.48,-9.64,2.06,134.56,1,12.022,1,1
2019-08-1213:12:05.4050,-1.27,0.44,0.87,-1.15,2.48,-9.64,2.06,134.56,0.13,11.94,1,1
2019-08-1213:12:05.4420,-2.35,0.65,2.78,-1.15,2.48,-9.64,0.31,16.62,0.13,11.829,1,1
2019-08-1213:12:05.4650,-2.35,0.65,2.78,-1.15,2.48,-9.64,0.31,16.62,0.13,11.812,1,1
2019-08-1213:12:05.6360,-1.13,2.08,1.45,-1.15,2.48,-9.64,0.31,16.62,0.13,11.796,1,1
2019-08-1213:12:05.6610,-0.14,0.07,-0.13,-1.15,2.48,-9.64,0.31,16.62,33.06,11.791,1,1
2019-08-1213:12:05.8160,-0.47,0.54,0.29,-1.15,2.48,-9.64,-29.06,-17.75,33.06,11.828,1,1
2019-08-1213:12:05.9810,-0.47,0.54,0.29,3.49,6.88,-4.82,-29.06,-17.75,33.06,11.93,0,1
2019-08-1213:12:06.0060,-0.47,0.54,0.29,3.49,6.88,-4.82,-29.06,-17.75,33.06,11.882,1,0
2019-08-1213:12:06.1610,1.48,0.07,-0.96,3.49,6.88,-4.82,-29.06,-17.75,33.06,11.825,1,0
2019-08-1213:12:06.1840,0.19,-1.16,-0.18,2.87,7.3,-6.39,-29.06,-17.75,33.06,11.743,1,0
2019-08-1213:12:06.3390,0.19,-1.16,-0.18,2.87,7.3,-6.39,-29.06,-17.75,33.06,11.868,0,1
2019-08-1213:12:06.3620,-0.62,0.59,1.57,2.87,7.3,-6.39,-29.06,-17.75,33.06,11.978,1,0
2019-08-1213:12:06.5160,0.52,-0.67,-1.65,1.07,10.1,-8.88,-29.06,-17.75,48.56,11.998,1,0
2019-08-1213:12:06.5390,0.52,-0.67,-1.65,1.07,10.1,-8.88,-29.75,4.75,48.56,11.905,1,0
2019-08-1213:12:06.6950,0.52,-0.67,-1.65,1.07,10.1,-8.88,-29.75,4.75,48.56,11.722,1,0
2019-08-1213:12:06.8560,-0.91,0.74,1.7,1.07,10.1,-8.88,-29.75,4.75,48.56,11.868,0,1
2019-08-1213:12:06.8790,-1.24,1.21,1.81,1.07,10.1,-8.88,-29.75,4.75,48.56,11.741,0,1
2019-08-1213:12:07.0360,-0.05,0.09,-0.14,1.07,10.1,-8.88,-29.75,4.75,48.56,11.831,0,1
2019-08-1213:12:07.0590,0.9,-0.19,-2.08,5.82,7.42,-4.05,-29.75,4.75,48.56,11.865,0,1
2019-08-1213:12:07.2160,0.9,-0.19,-2.08,2.61,8.3,-7,-29.75,4.75,48.56,11.654,0,1
